href,section_value
https://indianexpress.com/article/sports/chess/are-men-better-chess-players-than-women-a-resounding-no-whats-holding-the-women-back-then-9060409/,Sports
https://indianexpress.com/article/sports/cricket/can-the-match-fixing-taint-be-ever-erased-sreesanth-wasim-akram-search-for-answers-9060762/,Sports
https://indianexpress.com/article/sports/cricket/arshin-kulkarni-justifies-early-sacrifices-by-inspiring-india-to-victory-over-afghanistan-in-u19-asia-cup-9060457/,Sports
https://indianexpress.com/article/sports/cricket/tests-important-career-mohammed-siraj-india-vs-south-africa-9094158/,Sports
https://indianexpress.com/article/sports/cricket/skills-aside-lack-game-time-problem-harmanpreet-kaur-co-search-odi-answers-9094133/,Sports
https://indianexpress.com/article/sports/hockey/olympic-qualifiers-vandana-katariya-indian-women-team-9093911/,Sports
https://indianexpress.com/article/sports/cricket/india-vs-south-africa-2nd-test-fall-of-wickets-mohammed-siraj-55-9093871/,Sports
https://indianexpress.com/article/sports/cricket/watch-virat-kohli-mohammed-siraj-marco-jansen-sa-vs-ind-cape-town-test-9093637/,Sports
https://indianexpress.com/article/sports/cricket/india-vs-south-africa-live-score-2nd-test-day-1-ind-vs-sa-scorecard-updates-cape-town-9092436/,Sports
https://indianexpress.com/article/sports/cricket/dean-elgar-on-decline-of-test-cricket-in-south-africa-its-sad-that-its-gone-in-that-direction-9092996/,Sports
https://indianexpress.com/article/sports/cricket/catches-win-matches-shaheen-shah-afridi-rues-drop-chances-of-his-bowling-9092882/,Sports
https://indianexpress.com/article/sports/cricket/wasim-akram-and-waqar-younis-slam-shaheen-shah-afridis-exclusion-from-sydney-test-9092835/,Sports
https://indianexpress.com/article/sports/cricket/simon-katich-says-unfair-to-blame-david-warner-entirely-for-sandpaper-gate-scandal-9092793/,Sports
https://indianexpress.com/article/sports/cricket/india-vs-australia-women-odi-phoebe-litchfield-wankhede-stadium-9092457/,Sports
https://indianexpress.com/article/sports/cricket/rohit-sharma-cricket-south-africa-sa-20-league-test-9092394/,Sports
https://indianexpress.com/article/sports/tennis/rafael-nadal-comeback-tennis-boris-becker-hip-injury-9092219/,Sports
https://indianexpress.com/article/sports/cricket/ind-vs-sa-2nd-test-ashwin-jadeja-mukesh-kumar-avesh-khan-9092360/,Sports
https://indianexpress.com/article/sports/cricket/sa-vs-ind-yashasvi-jaiswal-shubman-gill-step-cape-town-test-9092340/,Sports
https://indianexpress.com/article/sports/cricket/david-warner-tribute-phil-hughes-sydney-last-test-aus-vs-pak-9092124/,Sports
https://indianexpress.com/article/sports/cricket/pat-cummins-david-warner-last-test-farewell-hundred-wicket-9091994/,Sports
https://indianexpress.com/article/sports/cricket/india-vs-south-africa-2nd-test-tip-off-xi-9091830/,Sports
https://indianexpress.com/article/sports/cricket/india-vs-south-africa-virat-kohli-rohit-sharma-david-bedingham-9091617/,Sports
https://indianexpress.com/article/sports/sport-others/rohit-sharma-virat-kohli-t20-world-cup-pr-sreejesh-krishna-pathak-lakshya-sen-paris-olympics-9091469/,Sports
